lake,method,rmse,mae,nse,pbias,n_eval,n_selected_vars,arima_order,arima_seasonal_order,min_exog_lag,n_foresight_free_months,frac_foresight_free,status
Sipiwesk_Lake,XGBoost_CCM_direct,0.8370806138726069,0.6446469700122938,0.6085971944288499,-4.926240818383537,24.0,1.0,,,1.0,1.0,0.027027027027027,
Sipiwesk_Lake,SARIMAX_CCM_ancestors,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Sipiwesk_Lake,XGBoost_CCM_ancestors,0.8854519552086861,0.6741800876357497,0.5620552054719178,38.23605402165563,24.0,6.0,,,1.0,1.0,0.027027027027027,
Sipiwesk_Lake,SARIMAX_Stepwise,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Sipiwesk_Lake,XGBoost_Stepwise,0.7996382574156291,0.5719141879685404,0.6428287495571932,-127.24710767800342,24.0,5.0,,,1.0,1.0,0.027027027027027,
Sipiwesk_Lake,SARIMAX_CCM_neighbor,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Sipiwesk_Lake,XGBoost_CCM_neighbor,0.9038570969639824,0.6994507635461318,0.5436596082553107,6.92060708305054,24.0,9.0,,,1.0,1.0,0.027027027027027,
Skaha_Lake,SARIMA,0.0625871649216033,0.0527087302238004,-0.4244801864570484,90.83724451856736,37.0,0.0,"(1, 0, 0)","(0, 0, 0, 12)",,37.0,1.0,
Skaha_Lake,Persistence,0.0723673325209961,0.0561995023595024,-0.9044561772398962,-150.37606939985824,37.0,0.0,,,,37.0,1.0,
Skaha_Lake,XGBoost_AR_only,0.0676629942879278,0.0573494464112057,-0.6649004844725719,85.72985364166878,37.0,0.0,,,,37.0,1.0,
Skaha_Lake,SARIMAX_all_vars,0.0558433664145111,0.048248325813544,-0.1340417314311237,63.4892149017484,37.0,6.0,"(1, 0, 0)","(0, 0, 0, 12)",1.0,1.0,0.027027027027027,
Skaha_Lake,XGBoost_all_vars,0.0500511282321551,0.0420673632894812,0.089010025580695,30.98611221482533,37.0,6.0,,,1.0,1.0,0.027027027027027,
Skaha_Lake,SARIMAX_Stepwise,0.0573170355006546,0.0490418587257415,-0.1946846799270685,73.30094323705342,37.0,3.0,"(1, 0, 0)","(0, 0, 0, 12)",1.0,1.0,0.027027027027027,
Skaha_Lake,XGBoost_Stepwise,0.0518916320034906,0.0425878456619729,0.0207794626364401,-8.50623912385853,37.0,3.0,,,1.0,1.0,0.027027027027027,
Split_Lake,SARIMA,1.2426367217893497,0.9841478622835717,-1.682676658947956,-345.44539941001307,36.0,0.0,"(0, 1, 1)","(0, 0, 0, 12)",,37.0,1.0,
Split_Lake,Persistence,1.2302812872924755,0.9685004070004166,-1.6295946068958744,-339.95299156440996,36.0,0.0,,,,37.0,1.0,
Split_Lake,XGBoost_AR_only,1.069168730391658,0.8943202551482616,-0.9859689803986011,26.703404187632515,36.0,0.0,,,,37.0,1.0,
Split_Lake,SARIMAX_all_vars,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Split_Lake,XGBoost_all_vars,0.5523114037690391,0.4657842076492243,0.5346422265623173,-188.87911502355257,31.0,6.0,,,1.0,1.0,0.027027027027027,
Split_Lake,SARIMAX_CCM_direct,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Split_Lake,XGBoost_CCM_direct,0.4860884184732008,0.3913698676009225,0.6395462902562272,-41.54768987736576,31.0,2.0,,,1.0,1.0,0.027027027027027,
